Geography,Gender,HasCrCard,IsActiveMember,EstimatedSalary,Exited
France,Female,YES,YES,101348.88,YES
Spain,Female,NO,YES,112542.58,NO
France,Female,YES,NO,113931.57,YES
France,Female,NO,NO,93826.63,NO
Spain,Female,YES,YES,79084.1,NO
Spain,Male,YES,NO,149756.71,YES
France,Male,YES,YES,10062.8,NO
Germany,Female,YES,NO,119346.88,YES
France,Male,NO,YES,74940.5,NO
France,Male,YES,YES,71725.73,NO
France,Male,NO,NO,80181.12,NO
Spain,Male,YES,NO,76390.01,NO
France,Female,YES,NO,26260.98,NO
France,Female,NO,NO,190857.79,NO
Spain,Female,YES,YES,65951.65,NO
Germany,Male,NO,YES,64327.26,NO
Germany,Male,YES,NO,5097.67,YES
Spain,Female,YES,YES,14406.41,NO
Spain,Male,NO,NO,158684.81,NO
France,Female,YES,YES,54724.03,NO
France,Male,YES,YES,170886.17,NO
Spain,Female,YES,NO,138555.46,NO
Spain,Female,YES,NO,118913.53,YES
France,Male,NO,YES,8487.75,NO
France,Female,YES,YES,187616.16,NO
France,Male,NO,YES,124508.29,NO
Germany,Male,YES,YES,170041.95,NO
France,Male,NO,NO,38433.35,NO
Germany,Female,YES,YES,100187.43,NO
France,Male,YES,YES,53483.21,NO
Spain,Female,YES,NO,140469.38,YES
France,Male,NO,YES,156731.91,NO
Germany,Male,NO,NO,81898.81,NO
Spain,Female,YES,YES,34410.55,NO
Spain,Female,YES,YES,142033.07,NO
France,Female,YES,NO,27822.99,YES
Spain,Male,NO,YES,114066.77,NO
Spain,Male,NO,YES,98453.45,NO
France,Male,YES,YES,40812.9,NO
Germany,Male,NO,YES,178074.04,NO
Spain,Male,YES,NO,70154.22,NO
France,Female,NO,NO,181297.65,YES
France,Female,YES,YES,94153.83,NO
France,Female,NO,NO,194365.76,YES
Spain,Female,YES,YES,158338.39,NO
Germany,Female,YES,YES,126517.46,NO
Germany,Female,YES,YES,119708.21,YES
Germany,Female,YES,YES,117622.8,YES
Germany,Male,NO,YES,90878.13,NO
Germany,Female,YES,NO,194099.12,NO
Germany,Male,YES,NO,198059.16,NO
Germany,Male,NO,NO,86424.57,NO
France,Female,NO,NO,116978.19,NO
Germany,Male,NO,NO,164040.94,YES
Germany,Male,YES,NO,40014.76,YES
France,Male,YES,YES,113410.49,NO
France,Male,YES,NO,87107.57,NO
Germany,Male,NO,NO,45613.75,NO
Spain,Female,YES,NO,1643.11,YES
France,Male,YES,YES,46775.28,NO
Germany,Male,NO,NO,84509.57,NO
Germany,Female,NO,NO,126494.82,NO
Spain,Male,NO,NO,178798.13,NO
Spain,Male,YES,YES,99398.36,NO
Germany,Male,YES,YES,92840.67,NO
Germany,Female,YES,YES,27758.36,NO
Germany,Female,YES,NO,110431.51,NO
Germany,Male,YES,YES,196673.28,NO
Germany,Female,NO,YES,113656.85,NO
France,Female,YES,NO,18203.0,NO
Germany,Male,YES,NO,28373.86,YES
France,Male,YES,NO,33953.87,NO
Spain,Female,NO,YES,44203.55,NO
Germany,Female,YES,YES,58426.81,NO
France,Male,NO,YES,145562.4,NO
France,Female,YES,NO,22388.0,NO
France,Male,YES,YES,139161.64,NO
France,Female,YES,YES,148210.64,NO
Spain,Male,NO,YES,194239.63,NO
Germany,Female,YES,NO,98301.61,NO
France,Female,NO,NO,171413.66,NO
France,Female,YES,NO,136458.19,YES
France,Female,NO,NO,26019.59,NO
France,Female,YES,YES,159235.29,NO
France,Female,YES,NO,1907.66,NO
Spain,Female,YES,YES,114675.75,NO
Spain,Male,YES,NO,128643.35,YES
France,Male,YES,NO,151869.35,NO
