Geography,Gender,Age,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited
France,Female,42,0.0,YES,YES,101348.88,YES
Spain,Female,41,83807.86,NO,YES,112542.58,NO
France,Female,42,159660.8,YES,NO,113931.57,YES
France,Female,39,0.0,NO,NO,93826.63,NO
Spain,Female,43,125510.82,YES,YES,79084.1,NO
Spain,Male,44,113755.78,YES,NO,149756.71,YES
France,Male,50,0.0,YES,YES,10062.8,NO
Germany,Female,29,115046.74,YES,NO,119346.88,YES
France,Male,44,142051.07,NO,YES,74940.5,NO
France,Male,27,134603.88,YES,YES,71725.73,NO
France,Male,31,102016.72,NO,NO,80181.12,NO
Spain,Male,24,0.0,YES,NO,76390.01,NO
France,Female,34,0.0,YES,NO,26260.98,NO
France,Female,25,0.0,NO,NO,190857.79,NO
Spain,Female,35,0.0,YES,YES,65951.65,NO
Germany,Male,45,143129.41,NO,YES,64327.26,NO
Germany,Male,58,132602.88,YES,NO,5097.67,YES
Spain,Female,24,0.0,YES,YES,14406.41,NO
Spain,Male,45,0.0,NO,NO,158684.81,NO
France,Female,24,0.0,YES,YES,54724.03,NO
France,Male,41,0.0,YES,YES,170886.17,NO
Spain,Female,32,0.0,YES,NO,138555.46,NO
Spain,Female,38,0.0,YES,NO,118913.53,YES
France,Male,46,0.0,NO,YES,8487.75,NO
France,Female,38,0.0,YES,YES,187616.16,NO
France,Male,25,0.0,NO,YES,124508.29,NO
Germany,Male,36,136815.64,YES,YES,170041.95,NO
France,Male,44,0.0,NO,NO,38433.35,NO
Germany,Female,43,141349.43,YES,YES,100187.43,NO
France,Male,29,59697.17,YES,YES,53483.21,NO
Spain,Female,39,0.0,YES,NO,140469.38,YES
France,Male,36,85311.7,NO,YES,156731.91,NO
Germany,Male,41,110112.54,NO,NO,81898.81,NO
Spain,Female,42,0.0,YES,YES,34410.55,NO
Spain,Female,29,0.0,YES,YES,142033.07,NO
France,Female,45,134264.04,YES,NO,27822.99,YES
Spain,Male,31,145260.23,NO,YES,114066.77,NO
Spain,Male,33,76548.6,NO,YES,98453.45,NO
France,Male,36,0.0,YES,YES,40812.9,NO
Germany,Male,41,70349.48,NO,YES,178074.04,NO
Spain,Male,40,0.0,YES,NO,70154.22,NO
France,Female,51,122522.32,NO,NO,181297.65,YES
France,Female,61,117419.35,YES,YES,94153.83,NO
France,Female,49,131394.56,NO,NO,194365.76,YES
Spain,Female,61,155931.11,YES,YES,158338.39,NO
Germany,Female,32,109421.13,YES,YES,126517.46,NO
Germany,Female,27,112045.67,YES,YES,119708.21,YES
Germany,Female,39,137843.8,YES,YES,117622.8,YES
Germany,Male,38,103391.38,NO,YES,90878.13,NO
Germany,Female,37,103769.22,YES,NO,194099.12,NO
Germany,Male,44,116363.37,YES,NO,198059.16,NO
Germany,Male,36,146050.97,NO,NO,86424.57,NO
France,Female,33,0.0,NO,NO,116978.19,NO
Germany,Male,41,125561.97,NO,NO,164040.94,YES
Germany,Male,42,98495.72,YES,NO,40014.76,YES
France,Male,43,125211.92,YES,YES,113410.49,NO
France,Male,45,127864.4,YES,NO,87107.57,NO
Germany,Male,19,75888.2,NO,NO,45613.75,NO
Spain,Female,66,0.0,YES,NO,1643.11,YES
France,Male,51,40685.92,YES,YES,46775.28,NO
